,lng,lat,API_rejected
"Tartu maakond, Tartu linn, Pootsmani tn 12",26.6980096,58.40475539999999,
"Harju maakond, Kose vald, Kose-Uuemõisa alevik, Metsa tn 32",,,True
"Tartu maakond, Tartu vald, Vahi alevik, Mõisajärve tn 3",26.7289061,58.4021463,
"Harju maakond, Tallinn, Lasnamäe linnaosa, Valge tn 18g",24.8095492,59.4409168,
"Harju maakond, Viimsi vald, Pärnamäe küla, Väike-Kaare tee 13",24.8510138,59.5052374,
"Harju maakond, Tallinn, Pirita linnaosa, Kastiku tee 15",24.859243,59.49244290000001,
"Rapla maakond, Kaiu vald, Vahastu küla, Nõmme",25.2651,58.95169989999999,
"Harju maakond, Saku vald, Tänassilma küla, Kungla tn 4",24.6523657,59.3432442,
"Rapla maakond, Rapla vald, Uusküla, Pähklisalu tn 10",24.8220668,59.01189369999999,
"Viljandi maakond, Viljandi linn, Ploomi tn 34",25.6200777,58.37076649999999,
"Harju maakond, Rae vald, Peetri alevik, Niinesaare põik 4",24.7973974,59.4030828,
"Harju maakond, Viimsi vald, Pärnamäe küla, Linnase tee 18",24.8615189,59.5019319,
"Harju maakond, Viimsi vald, Leppneeme küla, Puisniidu tee 3 // 3a",24.872494600000003,59.545427200000006,
"Saare maakond, Lääne-Saare vald, Aste alevik, Aste AÜ 50",,,True
"Harju maakond, Rae vald, Peetri alevik, Tähnase põik 8",24.8210397,59.4036565,
"Harju maakond, Keila linn, Kanarbiku tn 21",24.3812026,59.3224747,
"Tartu maakond, Ülenurme vald, Soinaste küla, Päikese tn 2",26.706271500000003,58.3391761,
"Saare maakond, Kihelkonna vald, Neeme küla, Kadaka tee 7",21.9447616,58.48012989999999,
"Lääne maakond, Ridala vald, Paralepa alevik, Tulbi tn 13",23.5200994,58.9315171,
"Harju maakond, Rae vald, Jüri alevik, Väljaku tn 17/1",24.899185100000004,59.3530944,
"Harju maakond, Rae vald, Jüri alevik, Väljaku tn 17/2",24.899185100000004,59.3530944,
"Harju maakond, Kuusalu vald, Salmistu küla, Pedassaare tee 122",25.374000100000003,59.51830089999999,
"Harju maakond, Saku vald, Saku alevik, Tariku tn 30",24.655528,59.30952009999999,
"Tartu maakond, Tartu linn, Kapsa tn 5",26.7085425,58.3901541,
"Tartu maakond, Tartu vald, Vahi alevik, Nõmmeringi tn 27",26.6964143,58.42224239999999,
"Harju maakond, Rae vald, Vaskjala küla, Kurekella tee 15",24.9511831,59.376327,
"Harju maakond, Tallinn, Pirita linnaosa, Valguta tn 16",24.8784269,59.4829669,
"Viljandi maakond, Viljandi linn, Kanepi tn 28",25.6108718,58.3783179,
"Pärnu maakond, Paikuse vald, Paikuse alev, Kalda tee 24",24.6236302,58.38366079999999,
"Harju maakond, Tallinn, Pirita linnaosa, Kõlviku tee 13",24.8769565,59.482798300000006,
"Harju maakond, Viimsi vald, Haabneeme alevik, Tammepõllu tee 1",24.8350139,59.5140115,
"Harju maakond, Kuusalu vald, Uuri küla, Pangapealse",25.5945799,59.50255299999999,
"Harju maakond, Tallinn, Pirita linnaosa, Lodjapuu tee 5",24.8465372,59.4949153,
"Pärnu maakond, Audru vald, Papsaare küla, Pilviku tee 3",24.4214257,58.40303919999999,
"Harju maakond, Viimsi vald, Haabneeme alevik, Nurmiku tee 5",24.80914,59.52167530000001,
"Harju maakond, Kiili vald, Kiili alev, Allika tn 11",24.826037,59.3046081,
"Pärnu maakond, Sauga vald, Tammiste küla, Kuremõõga tn 12",24.5946,58.38199989999999,
"Ida-Viru maakond, Avinurme vald, Laekannu küla, Võseriku",26.7711909,58.9451849,
"Harju maakond, Tallinn, Haabersti linnaosa, Oja tn 89",24.6065688,59.430097,
"Harju maakond, Rae vald, Peetri alevik, Tähnase põik 3",24.8210292,59.4029791,
"Harju maakond, Viimsi vald, Randvere küla, Tõru tee 8",24.8992447,59.5067449,
"Tartu maakond, Tartu linn, A. Laigo tn 6",26.790925800000004,58.3551058,
"Rapla maakond, Rapla vald, Sulupere küla, Kopramäe tn 2",24.772577,59.00364989999999,
"Põlva maakond, Orava vald, Kliima küla, Mäe",27.482493,57.8671219,
"Harju maakond, Tallinn, Kesklinna linnaosa, Roosikrantsi tn 8/1",24.7437322,59.4325156,
"Tartu maakond, Ülenurme vald, Külitse alevik, Mutiku tn 3",26.6159879,58.3158141,
"Harju maakond, Tallinn, Haabersti linnaosa, Pikaliiva tn 123",24.6124415,59.4319497,
"Harju maakond, Saku vald, Jälgimäe küla, Käspri",24.6004999,59.32040000000001,
"Harju maakond, Saku vald, Saku alevik, Sarapuu tn 6a",24.6461016,59.29842379999999,
"Ida-Viru maakond, Mäetaguse vald, Kiikla küla, Maria",27.2327919,59.2796609,
"Harju maakond, Tallinn, Haabersti linnaosa, Taludevahe tn 94",24.5660229,59.43646580000001,
